Port Name,Date,Month,Vehicle Type,Number of People,Port ID
Brownsville,2018-02-01,February,Personal Vehicles,371422,3
Brownsville,2018-02-01,February,Trucks,19371,3
Brownsville,2018-02-01,February,Bus Passengers,2525,3
Brownsville,2018-02-01,February,Rail Containers Empty,5949,3
Brownsville,2018-01-01,January,Truck Containers Full,12119,3
Brownsville,2018-01-01,January,Rail Containers Full,1057,3
Brownsville,2018-01-01,January,Bus Passengers,4076,3
Brownsville,2018-01-01,January,Truck Containers Empty,8115,3
Brownsville,2018-01-01,January,Pedestrians,213231,3
Brownsville,2018-01-01,January,Personal Vehicle Passengers,821237,3
Brownsville,2018-01-01,January,Trucks,20202,3
Brownsville,2018-01-01,January,Personal Vehicles,392983,3
Brownsville,2018-01-01,January,Rail Containers Empty,7398,3
Calexico,2020-02-01,February,Pedestrians,280949,4
Calexico,2020-02-01,February,Personal Vehicle Passengers,678645,4
Calexico,2020-02-01,February,Personal Vehicles,419497,4
Calexico,2020-01-01,January,Pedestrians,307717,4
Calexico,2020-01-01,January,Personal Vehicle Passengers,728764,4
Calexico,2020-01-01,January,Personal Vehicles,443958,4
Calexico,2019-12-01,December,Pedestrians,314805,4
Calexico,2019-12-01,December,Personal Vehicle Passengers,826331,4
Calexico,2019-12-01,December,Personal Vehicles,452069,4
Calexico,2019-11-01,November,Pedestrians,302181,4
Calexico,2019-11-01,November,Personal Vehicle Passengers,777025,4
Calexico,2019-11-01,November,Personal Vehicles,437017,4
Calexico,2019-10-01,October,Pedestrians,318231,4
Calexico,2019-10-01,October,Personal Vehicle Passengers,776233,4
Calexico,2019-10-01,October,Personal Vehicles,444291,4
Calexico,2019-09-01,September,Pedestrians,279225,4
Calexico,2019-09-01,September,Personal Vehicle Passengers,735182,4
Calexico,2019-09-01,September,Personal Vehicles,413730,4
Calexico,2019-08-01,August,Pedestrians,278225,4
Calexico,2019-08-01,August,Personal Vehicle Passengers,729169,4
Calexico,2019-08-01,August,Personal Vehicles,406323,4
Calexico,2019-07-01,July,Pedestrians,291081,4
Calexico,2019-07-01,July,Personal Vehicle Passengers,726230,4
Calexico,2019-07-01,July,Personal Vehicles,404712,4
Calexico,2019-06-01,June,Pedestrians,307033,4
Calexico,2019-06-01,June,Personal Vehicle Passengers,748066,4
Calexico,2019-06-01,June,Personal Vehicles,412296,4
Calexico,2019-05-01,May,Personal Vehicles,423348,4
Calexico,2019-05-01,May,Personal Vehicle Passengers,777628,4
Calexico,2019-05-01,May,Pedestrians,337402,4
Calexico,2019-04-01,April,Personal Vehicles,396841,4
Calexico,2019-04-01,April,Personal Vehicle Passengers,723489,4
Calexico,2019-04-01,April,Pedestrians,322339,4
Calexico,2019-03-01,March,Personal Vehicles,413457,4
Calexico,2019-03-01,March,Pedestrians,346158,4
Calexico,2019-03-01,March,Personal Vehicle Passengers,751911,4
Calexico,2019-02-01,February,Personal Vehicle Passengers,682264,4
Calexico,2019-02-01,February,Personal Vehicles,374126,4
Calexico,2019-02-01,February,Pedestrians,291959,4
Calexico,2019-01-01,January,Pedestrians,319138,4
Calexico,2019-01-01,January,Personal Vehicle Passengers,752364,4
Calexico,2019-01-01,January,Personal Vehicles,406571,4
Calexico,2018-12-01,December,Pedestrians,360911,4
Calexico,2018-12-01,December,Personal Vehicles,407806,4
Calexico,2018-12-01,December,Personal Vehicle Passengers,768064,4
Calexico,2018-11-01,November,Personal Vehicle Passengers,723647,4
Calexico,2018-11-01,November,Personal Vehicles,397489,4
Calexico,2018-11-01,November,Pedestrians,320954,4
Calexico,2018-10-01,October,Pedestrians,332079,4
Calexico,2018-10-01,October,Personal Vehicles,419899,4
Calexico,2018-10-01,October,Personal Vehicle Passengers,759576,4
Calexico,2018-09-01,September,Personal Vehicles,383022,4
Calexico,2018-09-01,September,Personal Vehicle Passengers,714205,4
Calexico,2018-09-01,September,Pedestrians,277382,4
Calexico,2018-08-01,August,Personal Vehicle Passengers,666959,4
Calexico,2018-08-01,August,Personal Vehicles,365592,4
Calexico,2018-08-01,August,Pedestrians,287038,4
Calexico,2018-07-01,July,Personal Vehicles,357875,4
Calexico,2018-07-01,July,Personal Vehicle Passengers,667792,4
Calexico,2018-07-01,July,Pedestrians,296416,4
Calexico,2018-06-01,June,Pedestrians,325298,4
Calexico,2018-06-01,June,Personal Vehicles,358840,4
Calexico,2018-06-01,June,Personal Vehicle Passengers,670628,4
Calexico,2018-05-01,May,Personal Vehicles,382314,4
Calexico,2018-05-01,May,Pedestrians,365418,4
Calexico,2018-05-01,May,Personal Vehicle Passengers,698589,4
Calexico,2018-04-01,April,Personal Vehicle Passengers,679074,4
Calexico,2018-04-01,April,Pedestrians,351085,4
Calexico,2018-04-01,April,Personal Vehicles,367989,4
Calexico,2018-03-01,March,Personal Vehicles,386129,4
Calexico,2018-03-01,March,Pedestrians,382354,4
Calexico,2018-03-01,March,Personal Vehicle Passengers,709937,4
Calexico,2018-02-01,February,Pedestrians,346887,4
Calexico,2018-02-01,February,Personal Vehicles,349649,4
Calexico,2018-02-01,February,Personal Vehicle Passengers,630746,4
Calexico,2018-01-01,January,Pedestrians,368697,4
Calexico,2018-01-01,January,Personal Vehicles,381277,4
Calexico,2018-01-01,January,Personal Vehicle Passengers,709800,4
Calexico East,2020-02-01,February,Bus Passengers,3880,5
Calexico East,2020-02-01,February,Pedestrians,36008,5
Calexico East,2020-02-01,February,Personal Vehicle Passengers,401101,5
Calexico East,2020-02-01,February,Personal Vehicles,239387,5
Calexico East,2020-02-01,February,Truck Containers Empty,14588,5
Calexico East,2020-02-01,February,Truck Containers Full,18946,5
Calexico East,2020-02-01,February,Trucks,33203,5
Calexico East,2020-01-01,January,Bus Passengers,3400,5
Calexico East,2020-01-01,January,Pedestrians,43565,5
Calexico East,2020-01-01,January,Personal Vehicle Passengers,428522,5
Calexico East,2020-01-01,January,Personal Vehicles,250071,5
Calexico East,2020-01-01,January,Truck Containers Empty,15451,5
Calexico East,2020-01-01,January,Truck Containers Full,18652,5
Calexico East,2020-01-01,January,Trucks,34390,5
Calexico East,2019-12-01,December,Bus Passengers,4080,5
Calexico East,2019-12-01,December,Pedestrians,63568,5
